taxonKey,species,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
7194590,Cambarus bartonii,14,Cfa,58,97,0.5979381443298969
2227405,Cambarus latimanus,14,Cfa,929,929,1
5178536,Paranephrops planifrons,14,Cfa,54,263,0.20532319391634982
2227262,Procambarus gracilis,14,Cfa,63,110,0.5727272727272728
2227338,Cambarus striatus,14,Cfa,487,487,1
2227409,Cambarus davidi,14,Cfa,40,40,1
4312658,Austropotamobius pallipes,14,Cfa,721,8222,0.08769155923133058
2227410,Cambarus conasaugaensis,14,Cfa,11,11,1
4648498,Euastacus spinifer,14,Cfa,181,190,0.9526315789473684
4648501,Euastacus sulcatus,14,Cfa,116,118,0.9830508474576272
2227434,Cambarellus puer,14,Cfa,43,43,1
2227435,Cambarellus texanus,14,Cfa,8,8,1
2227389,Cambarus carolinus,14,Cfa,36,36,1
5178535,Paranephrops zealandicus,15,Cfb,43,51,0.8431372549019608
2227411,Cambarus girardianus,14,Cfa,38,38,1
2227321,Cambarus howardi,14,Cfa,87,87,1
2227387,Cambarus tenebrosus,14,Cfa,158,158,1
4417558,Cherax destructor,14,Cfa,467,1410,0.3312056737588652
2227375,Cambarus robustus,14,Cfa,295,355,0.8309859154929577
2227017,Orconectes australis,14,Cfa,39,39,1
4417555,Austropotamobius torrentium,14,Cfa,374,410,0.9121951219512195
5789980,Faxonius quinebaugensis,14,Cfa,2,3,0.6666666666666666
2227029,Faxonius luteus,14,Cfa,26,43,0.6046511627906976
2227004,Faxonius immunis,14,Cfa,102,154,0.6623376623376623
2227064,Faxonius virilis,14,Cfa,178,615,0.2894308943089431
2227030,Faxonius propinquus,14,Cfa,135,344,0.39244186046511625
2227347,Cambarus sciotensis,14,Cfa,18,18,1
2227071,Faxonius neglectus,14,Cfa,5,5,1
2227374,Cambarus longulus,14,Cfa,147,147,1
4648546,Engaeus orientalis,15,Cfb,5,9,0.5555555555555556
4648561,Engaeus laevis,15,Cfb,7,21,0.3333333333333333
4648533,Engaeus victoriensis,14,Cfa,4,4,1
4648522,Engaeus granulatus,15,Cfb,3,140,0.02142857142857143
4648541,Engaeus leptorhynchus,15,Cfb,12,12,1
4648555,Engaeus martigener,15,Cfb,7,7,1
4648527,Engaeus tayatea,15,Cfb,23,25,0.92
4648539,Engaeus quadrimanus,14,Cfa,6,8,0.75
4648524,Engaeus hemicirratulus,15,Cfb,7,14,0.5
4648531,Engaeus tuberculatus,15,Cfb,5,8,0.625
4648554,Engaeus karnanga,15,Cfb,2,4,0.5
4648560,Engaeus australis,15,Cfb,3,3,1
5789956,Astacopsis franklinii,15,Cfb,84,90,0.9333333333333333
4648551,Engaeus nulloporius,15,Cfb,1,4,0.25
4648548,Engaeus curvisuturus,15,Cfb,2,2,1
4648556,Engaeus sternalis,15,Cfb,1,5,0.2
4648523,Engaeus phyllocercus,15,Cfb,2,4,0.5
