taxonKey,species,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
7194590,Cambarus bartonii,14,Cfa,58,97,0.5979381443298969
2227405,Cambarus latimanus,14,Cfa,929,929,1
5178536,Paranephrops planifrons,14,Cfa,54,263,0.20532319391634982
2227262,Procambarus gracilis,14,Cfa,63,110,0.5727272727272728
2227338,Cambarus striatus,14,Cfa,487,487,1
4648498,Euastacus spinifer,14,Cfa,181,190,0.9526315789473684
4648501,Euastacus sulcatus,14,Cfa,116,118,0.9830508474576272
2227387,Cambarus tenebrosus,14,Cfa,158,158,1
4417558,Cherax destructor,14,Cfa,467,1410,0.3312056737588652
2227375,Cambarus robustus,14,Cfa,295,355,0.8309859154929577
4417555,Austropotamobius torrentium,14,Cfa,374,410,0.9121951219512195
2227004,Faxonius immunis,14,Cfa,102,154,0.6623376623376623
2227064,Faxonius virilis,14,Cfa,178,615,0.2894308943089431
2227030,Faxonius propinquus,14,Cfa,135,344,0.39244186046511625
2227374,Cambarus longulus,14,Cfa,147,147,1
5789956,Astacopsis franklinii,15,Cfb,84,90,0.9333333333333333
4648505,Spinastacoides inermis,15,Cfb,192,192,1
5789955,Astacopsis gouldi,15,Cfb,581,713,0.814866760168303
4648471,Euastacus kershawi,14,Cfa,98,219,0.4474885844748858
2227230,Procambarus spiculifer,14,Cfa,291,291,1
2227224,Procambarus versutus,14,Cfa,175,175,1
2227114,Creaserinus fodiens,14,Cfa,134,147,0.9115646258503401
4648448,Euastacus yarraensis,15,Cfb,60,173,0.3468208092485549
4648497,Euastacus armatus,14,Cfa,200,396,0.5050505050505051
2227318,Cambarus acuminatus,14,Cfa,211,211,1
2227081,Faxonius rusticus,14,Cfa,114,169,0.6745562130177515
2227362,Lacunicambarus diogenes,14,Cfa,313,332,0.9427710843373494
6283036,Faxonius palmeri,14,Cfa,96,96,1
2227391,Cambarus longirostris,14,Cfa,91,91,1
2227327,Cambarus hobbsorum,14,Cfa,317,317,1
