taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
2865181,Alisma subcordatum,Cfa,Humid subtropical climate,218,673,0.32392273402674593
5329260,Egeria densa,Cfa,Humid subtropical climate,686,3053,0.22469701932525385
3171926,Gratiola viscidula,Cfa,Humid subtropical climate,20,21,0.9523809523809523
3064056,Euphorbia palustris,Cfb,Temperate oceanic climate,4414,7263,0.6077378493735371
8243603,Cyperus longus,Cfb,Temperate oceanic climate,2898,6442,0.4498602918348339
2873807,Acorus gramineus,Aw,"Tropical savanna, wet",26,495,0.052525252525252523
7836060,Bacopa monnieri,Aw,"Tropical savanna, wet",500,3071,0.16281341582546402
2926921,Clinopodium brownei,Cfa,Humid subtropical climate,362,668,0.5419161676646707
2715828,Cyperus haspan,Af,Tropical rainforest climate,288,4238,0.06795658329400661
3086504,Anemopsis californica,BSk,Cold semi-arid (steppe) climate,914,2808,0.32549857549857547
5328626,Aponogeton madagascariensis,Af,Tropical rainforest climate,9,34,0.2647058823529412
2926921,Clinopodium brownei,Am,Tropical monsoon climate,40,668,0.059880239520958084
5328626,Aponogeton madagascariensis,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,9,34,0.2647058823529412
8269085,Fontinalis antipyretica,Csb,Warm-summer Mediterranean climate,32,1014,0.03155818540433925
2687948,Equisetum scirpoides,Dfb,Warm-summer humid continental climate,1412,5848,0.2414500683994528
8269085,Fontinalis antipyretica,Dfb,Warm-summer humid continental climate,354,1014,0.34911242603550297
2988113,Filipendula rubra,Dfb,Warm-summer humid continental climate,133,392,0.3392857142857143
5330776,Colocasia esculenta,Aw,"Tropical savanna, wet",544,5292,0.10279667422524566
2703041,Arundo donax,BWk,Cold desert climate,118,27114,0.004351995279191561
3112110,Cotula coronopifolia,Cfa,Humid subtropical climate,327,11185,0.029235583370585606
3582614,Cyperus haspan,Cfa,Humid subtropical climate,1287,4238,0.30368098159509205
2651586,Ceratopteris thalictroides,Cfa,Humid subtropical climate,742,1564,0.4744245524296675
5330776,Colocasia esculenta,Cfa,Humid subtropical climate,1987,5292,0.3754724111866969
2651586,Ceratopteris thalictroides,Aw,"Tropical savanna, wet",323,1564,0.20652173913043478
2703041,Arundo donax,Cfa,Humid subtropical climate,2635,27114,0.097182267463303093
2926921,Clinopodium brownei,Af,Tropical rainforest climate,42,668,0.06287425149700598
2687948,Equisetum scirpoides,Dsc,Dry-summer regular subarctic climate,114,5848,0.019493844049247606
5371684,Caltha leptosepala,Dfb,Warm-summer humid continental climate,79,1446,0.05463347164591978
3171169,Bacopa monnieri,Cfa,Humid subtropical climate,1258,3071,0.40963855421686746
3171169,Bacopa monnieri,Af,Tropical rainforest climate,92,3071,0.029957668511885378
2726538,Carex muskingumensis,Cfa,Humid subtropical climate,34,273,0.12454212454212454
2715828,Cyperus haspan,Aw,"Tropical savanna, wet",1376,4238,0.32468145351580935
2687948,Equisetum scirpoides,ET,Tundra,919,5848,0.15714774281805746
3171189,Bacopa caroliniana,Aw,"Tropical savanna, wet",50,249,0.20080321285140562
