acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
5274875,Marsilea quadrifolia,15,Cfb,911,1506,0.6049136786188579
2746005,Hesperantha coccinea,15,Cfb,139,356,0.3904494382022472
5298019,Iris versicolor,26,Dfb,3014,3990,0.7553884711779448
5408269,Lobelia cardinalis,26,Dfb,2354,11057,0.21289680745229267
3730140,Glossostigma elatinoides,15,Cfb,349,484,0.7210743801652892
2988113,Filipendula rubra,26,Dfb,140,373,0.3753351206434316
6026805,Hydrocotyle tripartita,15,Cfb,1088,1785,0.6095238095238096
2713316,Isolepis cernua,15,Cfb,3416,6999,0.4880697242463209
2865181,Alisma subcordatum,26,Dfb,151,651,0.23195084485407066
2984291,Proserpinaca palustris,26,Dfb,190,600,0.31666666666666665
3925689,Ranunculus inundatus,15,Cfb,679,2593,0.2618588507520247
2865524,Vallisneria australis,15,Cfb,222,775,0.2864516129032258
5555442,Myriophyllum crispatum,15,Cfb,419,1778,0.23565804274465693
5329038,Sagittaria graminea,26,Dfb,185,732,0.2527322404371585
5555409,Myriophyllum simulans,15,Cfb,475,940,0.5053191489361702
5408775,Lobelia sessilifolia,26,Dfb,86,397,0.21662468513853905
5329014,Sagittaria subulata,15,Cfb,66,155,0.4258064516129032
2864584,Hydrocleys nymphoides,15,Cfb,83,383,0.21671018276762402
5414324,Primula japonica,26,Dfb,49,128,0.3828125
5272847,Aegagropila linnaei,26,Dfb,295,753,0.39176626826029215
5272847,Aegagropila linnaei,15,Cfb,265,753,0.351925630810093
